StateName,Population,TotalCrimes,ViolentCrimes,Murder,Rape,Robbery,AggravatedAssault,ProperyCrimes,Burglary,LarcenyTheft,MotorVehicleTheft,TotalCrimesPerH,ViolentCrimesPerH,MurderPerH,RapePerH,RobberyPerH,AggravatedAssaultPerH,ProperyCrimesPerH,BurglaryPerH,LarcenyTheftPerH,MotorVehicleTheftPerH,TotalViolentCrimesPerH,TotalMurderPerH,TotalRapePerH,TotalRobberyPerH,TotalAggravatedAssaultPerH,TotalProperyCrimesPerH,TotalBurglaryPerH,TotalLarcenyTheftPerH,TotalMotorVehicleTheftPerH
Tennessee,3653974,403862,30630,243,1575,7738,21074,171301,43373,117335,10593,11053,839,7,44,212,577,4689,1188,3211,290,,,,,,,,,
Texas,18521004,1752460,92704,975,6088,28509,57132,783526,177396,550190,55940,9463,501,6,33,154,309,4231,958,2971,303,,,,,,,,,
Utah,2104995,152278,4880,43,792,1125,2920,71259,11857,54511,4891,7235,232,3,38,54,139,3386,564,2590,233,,,,,,,,,
Vermont,280582,14826,401,0,64,47,290,7012,1182,5661,169,5285,143,0,23,17,104,2500,422,2018,61,,,,,,,,,
Virginia,2929753,223722,10660,212,733,3948,5767,101201,16941,78462,5798,7637,364,8,26,135,197,3455,579,2678,198,,,,,,,,,
Washington,4056667,409828,15712,100,1736,5044,8832,189202,36178,133161,19863,10103,388,3,43,125,218,4664,892,3283,490,,,,,,,,,
West Virginia,255724,16894,985,14,60,178,733,7275,1654,5688,307,6607,386,6,24,70,287,2845,647,2224,121,,,,,,,,,
Wisconsin,3517403,249773,12255,128,861,4384,6882,112617,19059,86695,6892,7102,349,4,25,125,196,3202,542,2465,196,,,,,,,,,
Wyoming,356656,23578,807,6,118,63,620,10982,1537,9056,389,6611,227,2,34,18,174,3080,431,2539,110,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
